target,title,address,imgUrl,description,latitude,longitude,rating,reviews,phone,province,city,website,place_id
coffee,Tiệm cafe phía tây mặt trời - Specialty coffee Da Lat,12_6 Lê Văn Tám Phường 10 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO0ZE6oPmzyJisHIjlsPyP0UctR0PS1LDSt507D=w80-h142-k-no,,11.937173099999999,108.4544329,4.6,292,+84 772 277 444,Lâm đồng,Đà lạt,https://www.facebook.com/phiataymattroicafe,ChIJzeL-20QTcTERdN5YkW4pulk
coffee,coffee kem Bơ,162 Đường Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNdpP8duSfgUg1Cm14ppiW_kyxQMysVaYnRMdHX=w163-h92-k-no,,11.949067999999999,108.4391375,,,+84 96 454 42 12,Lâm đồng,Đà lạt,,ChIJI1XQowgTcTERxhTS-B-p0GQ
coffee,Proust Coffee - Specialty Coffee & Teapresso,83 Đường An Dương Vương Phường 2 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipOm9SSqHQ8Z-u_tWs-0p5DVE-4xMTId-MeZrFOj=w137-h92-k-no,,11.954587799999999,108.435695,5,26,+84 94 586 88 08,Lâm đồng,Đà lạt,https://www.facebook.com/proustbykomorebi,ChIJt1CAlVcTcTEREHlI1MEw4Ok
coffee,NHIÊN - Coffee & Bakery,Lô Biệt Lập 34 Khu Quy Hoạch Yersin Phường 9 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPFCJcR1XpV5UQJ7TfuJWwjjHcN_h74or4T9JFb=w144-h92-k-no,,11.9453632,108.45420539999999,4.6,16,+84 90 954 91 33,Lâm đồng,Đà lạt,https://www.foody.vn/lam-dong/nhien-coffee-bakery,ChIJRbE6-fITcTERIQp-6FrnA0k
coffee,Bittersweet Coffee,5 Nguyễn Văn Trỗi Phường 1 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipO1ODwMSJk33PA7q6durxBSukj4KXSRP9v-DEFf=w122-h92-k-no,,11.944355999999999,108.4359109,4.7,120,+84 94 368 01 84,Lâm đồng,Đà lạt,,ChIJv0I4oDkTcTERRCfEKj3FnNY
coffee,Kết Nối 2 coffee,211 Đường Hai Bà Trưng Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipORmuy8W6EyUWlzBBLpVIL8JDqdlacnAQ6qJzvt=w80-h142-k-no,,11.9482795,108.4334056,4,23,+84 90 231 09 90,Lâm đồng,Đà lạt,,ChIJ-4xsidQScTERWwoHUfKOO6o
coffee,Horizon Coffee,31/6 Đường 3/4 Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipN5HTMC2sGYZxV-aqqjVu9Tm3mSUfg6UEmdRUEn=w163-h92-k-no,,11.9238295,108.4484473,4.2,2959,+84 1900 633461,Lâm đồng,Đà lạt,https://m.facebook.com/horizondalat/,ChIJ_3HmQsMTcTERM_WaDP3Z1gU
coffee,Industry Coffee,201 Đ. Bùi Thị Xuân Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipMAUMnrgZ0YwUCK171HSOKpI1h2dIWb0FoDFzpy=w122-h92-k-no,,11.9523209,108.4393267,5,2,+84 93 322 19 13,Lâm đồng,Đà lạt,,ChIJvxjUbx8TcTERlW3-uA0LM3E
coffee,The B Coffee and Specialties,41C Đường Trần Khánh Dư Phường 8 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPXYia0kioUNbTi8psFTpQK1SRcpIor06u4YQTJ=w80-h106-k-no,,11.9630605,108.44209049999999,4.8,5,+84 98 808 81 30,Lâm đồng,Đà lạt,,ChIJtfbU-oQTcTER-eMqm94jPjY
coffee,Cà Phê Amelie,18/3 Lê Văn Tám Phường 10 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNOrZVEvQN1RMEphUhSLfnp6dvVp0NnkzjldWN0=w80-h171-k-no,,11.937337999999999,108.4553797,5,55,+84 848 360 538,Lâm đồng,Đà lạt,https://www.facebook.com/ameliecafeandteashop?mibextid=LQQJ4d,ChIJq0VExc4TcTERAsyOeanTtLg
coffee,ToNgo Coffee,1 Hoàng Hoa Thám Phường 10 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNyebePGZTx1Kjp2ZwEF0li_U_6U7Iy_9vdgR1I=w80-h106-k-no,,11.9386118,108.4625705,4.9,107,+84 332 251 079,Lâm đồng,Đà lạt,,ChIJo_lcrf8TcTERHuAKNnjADDg
coffee,The F coffee,16 Đường Trương Công Định Phường 1 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipN7P1oTVItzziqzm0powX7dy8nIE2cmAAJJnULq=w80-h106-k-no,,11.9435556,108.4352608,4.1,9,+84 90 822 24 06,Lâm đồng,Đà lạt,https://www.facebook.com/profile.php?id=100046353020570,ChIJRSv1C4ETcTERAA9m4D4BnR8
coffee,Zalo Coffee,242 Phan Đình Phùng Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipP5mCdMdzhFH7FqbrssWrVCzBUtsLRo7d41afNS=w122-h92-k-no,,11.9494989,108.43515149999999,4.2,68,+84 91 342 86 39,Lâm đồng,Đà lạt,https://www.facebook.com/zalocoffeedalat/,ChIJP1jeINYScTERvunJvqjpw68
coffee,The Sun Coffee,01 Bis Đường Nhà Chung Phường 3 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPqd5EdlYKcdPuOA8OV0zwS2LlExSfHPlzaOEVC=w80-h106-k-no,,11.936484,108.43860529999999,4.2,18,+84 94 222 15 62,Lâm đồng,Đà lạt,https://www.facebook.com/thesuncoffeedalat/,ChIJJ82pUg0TcTERWgeiEyC3qKE
coffee,Tiệm Cà Phê Trứng Cô Ba - nhà Táo,105 Đường Hai Bà Trưng Phường 6 Thành phố Đà Lạt Lâm Đồng 670000 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipM_YH36_HZ2bubGw9Pe2TDZFNB3WKHDAqWI2WCt=w130-h92-k-no,,11.945029199999999,108.43307229999999,4.4,356,+84 94 520 90 79,Lâm đồng,Đà lạt,http://cobacaphedalat.com/,ChIJO8pnG7ATcTER2zNICgdwTPs
coffee,Still cafe,59 Nguyễn Trãi Phường 9 Thành phố Đà Lạt Lâm Đồng 66111 Việt Nam,https://lh5.googleusercontent.com/p/AF1QipPwcIcNI6edl-uYGJ9ZQnkt9G4BcHkq3uzXEgNS=w92-h92-k-no,,11.9443445,108.4543587,4.5,1775,+84 344 626 702,Lâm đồng,Đà lạt,https://stillcafe.business.site/,ChIJawxt4R4TcTERR3yVdgtMhbI
coffee,The Green Coffee,144 Xô Viết Nghệ Tĩnh Phường 7 Thành phố Đà Lạt Lâm Đồng Việt Nam,https://lh5.googleusercontent.com/p/AF1QipNiZTgn2wvhYz8Dy3XTbrHeHrafV8mMniqhvv6T=w163-h92-k-no,,11.9622627,108.43362239999999,4.5,4,+84 90 233 72 04,Lâm đồng,Đà lạt,,ChIJZWWhdc4ScTERq_CmtmLE_T0
coffee,Coffee SoDamilk tea,Hẻm 66 Nguyễn Công Trứ Phường 2 Thành phố Đà Lạt Lâm Đồng Việt Nam,,,11.9543267,108.44000369999999,,,+84 96 545 00 30,Lâm đồng,Đà lạt,,ChIJXZ1Az6kTcTER1-d66_9MEFY
